"","","Per capita total expenditure on health at average exchange rate (US$)","Per capita total expenditure on health at average exchange rate (US$)","Per capita total expenditure on health at average exchange rate (US$)","Per capita total expenditure on health (PPP int. $)","Per capita total expenditure on health (PPP int. $)","Per capita total expenditure on health (PPP int. $)","Per capita government expenditure on health at average exchange rate (US$)","Per capita government expenditure on health at average exchange rate (US$)","Per capita government expenditure on health at average exchange rate (US$)","Per capita government expenditure on health (PPP int. $)","Per capita government expenditure on health (PPP int. $)","Per capita government expenditure on health (PPP int. $)"
"Sweden","  ","5680","5293","2282","4244","4041","2292","4628","4301","1938","3458","3284","1946"
"Switzerland","  ","9276","9071","3541","6187","5992","3234","6122","5970","1963","4083","3944","1793"
"Syrian Arab Republic"," Syrian Arab Republic note","43","73","58","169","168","157","20","34","23","78","77","63"
"Tajikistan","  ","70","61","7","170","151","44","21","18","1","52","44","9"
"Thailand"," Thailand note","264","247","67","658","630","241","212","196","38","527","500","135"
"The former Yugoslav republic of Macedonia","  ","312","314","153","759","797","508","215","205","88","523","520","293"
"Timor-Leste"," Timor-Leste note","59","68","18","96","121","45","54","64","12","88","113","30"
"Togo","  ","54","48","14","119","109","55","28","24","4","62","56","16"
"Tonga"," Tonga note","204","197","92","250","232","174","167","159","65","204","187","122"
"Trinidad and Tobago"," Trinidad and Tobago note","995","991","260","1663","1689","569","478","489","118","799","834","258"
"Tunisia"," Tunisia note","309","292","121","791","748","318","183","173","67","468","441","174"
"Turkey","  ","608","569","197","1053","971","437","470","437","124","815","745","275"
"Turkmenistan"," Turkmenistan note","158","128","44","276","239","167","103","81","36","181","152","136"
"Tuvalu","  ","704","559","161","663","491","268","704","559","161","663","490","268"
"Uganda"," Uganda note","59","57","19","146","141","56","26","25","5","65","61","15"
"Ukraine","  ","313","290","36","687","634","214","170","161","18","374","352","111"
"United Arab Emirates","  ","1569","1235","753","2233","1718","1882","1103","854","578","1570","1188","1444"
"United Kingdom of Great Britain and Northern Ireland","  ","3598","3595","1761","3311","3235","1833","3006","3019","1394","2766","2716","1450"
"United Republic of Tanzania","  ","49","42","10","126","117","27","18","16","4","46","46","12"
"United States of America","  ","9146","8845","4818","9146","8845","4818","4307","4153","2074","4307","4153","2074"
"Uruguay"," Uruguay note","1431","1265","773","1715","1594","1123","1004","816","422","1203","1028","613"
"Uzbekistan","  ","120","110","29","330","306","103","61","56","14","168","156","49"
"Vanuatu","  ","123","116","52","115","106","79","108","100","40","101","92","61"
"Venezuela (Bolivarian Republic of)","  ","520","618","273","656","871","653","141","200","113","178","282","271"
"Viet Nam"," Viet Nam note","111","102","20","308","292","99","47","44","6","129","124","31"
"Yemen"," Yemen note","74","76","26","200","218","149","19","21","14","50","60","80"
"Zambia","  ","93","84","23","192","175","121","54","45","11","112","94","57"
